# Matter power spectrum P(k) at redshift z=0
# for k=1.02701e-05 to 1.02274 h/Mpc,
# number of wavenumbers equal to 643
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.088798481664e-02       2.387252074153e+04 
       1.099779439698e-02       2.394376851010e+04 
       1.110763960858e-02       2.401277076654e+04 
       1.121752028739e-02       2.407952070585e+04 
       1.132743629659e-02       2.414405002683e+04 
       1.143738752583e-02       2.420639188265e+04 
       1.154737389054e-02       2.426656287189e+04 
       1.165739533128e-02       2.432457336312e+04 
       1.176745181311e-02       2.438046792711e+04 
       1.187754332506e-02       2.443423160995e+04 
       1.198766987960e-02       2.448592846090e+04 
       1.209783151213e-02       2.453556659468e+04 
       1.220802828063e-02       2.458315018753e+04 
       1.231826026515e-02       2.462871380884e+04 
       1.242852756752e-02       2.467228450052e+04 
       1.253883031101e-02       2.471388140771e+04 
       1.264916863997e-02       2.475353705845e+04 
       1.275954271963e-02       2.479125134739e+04 
       1.286995273582e-02       2.482705328984e+04 
       1.298039889476e-02       2.486096821011e+04 
       1.309088142286e-02       2.489300559713e+04 
       1.320140056658e-02       2.492318787631e+04 
       1.331195659228e-02       2.495154849770e+04 
       1.342254978609e-02       2.497810572410e+04 
       1.353318045383e-02       2.500286170816e+04 
       1.364384892095e-02       2.502584779503e+04 
       1.375455553246e-02       2.504709695356e+04 
       1.386530065289e-02       2.506661684836e+04 
       1.397608466632e-02       2.508441891444e+04 
       1.408690797636e-02       2.510055210792e+04 
       1.419777100618e-02       2.511500500803e+04 
       1.430867419855e-02       2.512782641787e+04 
       1.441961801593e-02       2.513900078258e+04 
       1.453060294052e-02       2.514857983128e+04 
       1.464162947441e-02       2.515656288295e+04 
       1.475269813961e-02       2.516297903703e+04 
       1.486380947828e-02       2.516784493093e+04 
       1.497496405282e-02       2.517117857119e+04 
       1.508616244603e-02       2.517300995790e+04 
       1.519740526133e-02       2.517333769446e+04 
       1.530869312295e-02       2.517219995027e+04 
       1.542002667611e-02       2.516960383712e+04 
       1.553140658728e-02       2.516557752307e+04 
       1.564283354443e-02       2.516012780799e+04 
       1.575430825726e-02       2.515327387896e+04 
       1.586583145751e-02       2.514504593591e+04 
       1.597740389922e-02       2.513545663833e+04 
       1.608902635908e-02       2.512452086434e+04 
       1.620069963672e-02       2.511225720543e+04 
       1.631242455504e-02       2.509869213614e+04 
       1.642420196063e-02       2.508383698575e+04 
       1.653603272406e-02       2.506770176840e+04 
       1.664791774033e-02       2.505032340684e+04 
       1.675985792923e-02       2.503170311990e+04 
       1.687185423583e-02       2.501185934243e+04 
       1.698390763082e-02       2.499081046820e+04 
       1.709601911107e-02       2.496858794530e+04 
       1.720818970003e-02       2.494519804036e+04 
       1.732042044825e-02       2.492064880356e+04 
       1.743271243391e-02       2.489496888619e+04 
       1.754506676329e-02       2.486817809561e+04 
       1.765748457139e-02       2.484026743633e+04 
       1.776996702245e-02       2.481128563685e+04 
