# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
  482       2.884022678027e-10       1.124448890635e-12       1.029598321077e-12       6.808111935204e-15       7.930546850006e-14       3.395979917758e-15      -1.285932913375e-16 
  483       2.879713563833e-10       1.148280798538e-12       1.139457302460e-12       6.824562231685e-15       7.872806998165e-14       3.414060688545e-15      -1.435251307803e-16 
  484       2.875129407721e-10       1.172770819751e-12       1.246544211854e-12       6.840829407373e-15       7.815603262733e-14       3.433249976143e-15      -1.583184772378e-16 
  485       2.870276342712e-10       1.197908310899e-12       1.350762084088e-12       6.856912987193e-15       7.758930994759e-14       3.453525364222e-15      -1.729728088756e-16 
  486       2.865160635185e-10       1.223682369830e-12       1.452012870450e-12       6.872812515299e-15       7.702785320084e-14       3.474863904544e-15      -1.874876288516e-16 
  487       2.859788685615e-10       1.250081834151e-12       1.550197434080e-12       6.888527555207e-15       7.647161137865e-14       3.497242113958e-15      -2.018624655131e-16 
  488       2.854167029296e-10       1.277095279766e-12       1.645215545351e-12       6.904057689935e-15       7.592053119094e-14       3.520635971384e-15      -2.160968725928e-16 
  489       2.848302337074e-10       1.304711019424e-12       1.736965877261e-12       6.919402522136e-15       7.537455705119e-14       3.545020914802e-15      -2.301904294061e-16 
  490       2.842201416074e-10       1.332917101250e-12       1.825346000818e-12       6.934561674236e-15       7.483363106168e-14       3.570371838244e-15      -2.441427410472e-16 
  491       2.835871210430e-10       1.361701307291e-12       1.910252380429e-12       6.949534788573e-15       7.429769299866e-14       3.596663088778e-15      -2.579534385862e-16 
  492       2.829318802019e-10       1.391051152053e-12       1.991580369288e-12       6.964321527532e-15       7.376668029757e-14       3.623868463502e-15      -2.716221792651e-16 
  493       2.822551411181e-10       1.420953881045e-12       2.069224204760e-12       6.978921573680e-15       7.324052803827e-14       3.651961206527e-15      -2.851486466951e-16 
  494       2.815576397458e-10       1.451396469313e-12       2.143077003772e-12       6.993334629905e-15       7.271916893025e-14       3.680914005971e-15      -2.985325510528e-16 
  495       2.808401260317e-10       1.482365619985e-12       2.213030758199e-12       7.007560419555e-15       7.220253329781e-14       3.710698990944e-15      -3.117736292770e-16 
  496       2.801033639883e-10       1.513847762808e-12       2.278976330251e-12       7.021598686567e-15       7.169054906530e-14       3.741287728539e-15      -3.248716452652e-16 
  497       2.793481317666e-10       1.545829052691e-12       2.340803447864e-12       7.035449195613e-15       7.118314174232e-14       3.772651220819e-15      -3.378263900703e-16 
  498       2.785752217292e-10       1.578295368243e-12       2.398400700081e-12       7.049111732230e-15       7.068023440893e-14       3.804759901808e-15      -3.506376820974e-16 
  499       2.777854405233e-10       1.611232310313e-12       2.451655532446e-12       7.062586102961e-15       7.018174770088e-14       3.837583634476e-15      -3.633053673000e-16 
  500       2.769796091534e-10       1.644625200531e-12       2.500454242386e-12       7.075872135489e-15       6.968759979477e-14       3.871091707732e-15      -3.758293193771e-16 
  501       2.761585630544e-10       1.678459079847e-12       2.544681974603e-12       7.088969678773e-15       6.919770639332e-14       3.905252833410e-15      -3.882094399695e-16 
  502       2.753231521645e-10       1.712718707072e-12       2.584222716459e-12       7.101878603190e-15       6.871198071054e-14       3.940035143258e-15      -4.004456588567e-16 
  503       2.744742409982e-10       1.747388557418e-12       2.618959293364e-12       7.114598800666e-15       6.823033345697e-14       3.975406185928e-15      -4.125379341532e-16 
  504       2.736127087193e-10       1.782452821037e-12       2.648773364163e-12       7.127130184814e-15       6.775267282486e-14       4.011332923963e-15      -4.244862525052e-16 
  505       2.727394051574e-10       1.817895506193e-12       2.673566736353e-12       7.139473080269e-15       6.727891922814e-14       4.047785286666e-15      -4.362904916817e-16 
  506       2.718550173169e-10       1.853700755005e-12       2.693325996429e-12       7.151629402735e-15       6.680905001930e-14       4.084746947382e-15      -4.479500035930e-16 
  507       2.709601991661e-10       1.889852533923e-12       2.708059732389e-12       7.163601513201e-15       6.634305603162e-14       4.122204850763e-15      -4.594640196464e-16 
  508       2.700556153980e-10       1.926334528511e-12       2.717777387670e-12       7.175391832142e-15       6.588092693307e-14       4.160145683631e-15      -4.708317873980e-16 
  509       2.691419414822e-10       1.963130142038e-12       2.722489266553e-12       7.187002839833e-15       6.542265121845e-14       4.198555873634e-15      -4.820525706841e-16 
  510       2.682198637172e-10       2.000222494064e-12       2.722206539555e-12       7.198437076673e-15       6.496821620154e-14       4.237421587908e-15      -4.931256497536e-16 
  511       2.672900792829e-10       2.037594419034e-12       2.716941248836e-12       7.209697143504e-15       6.451760800726e-14       4.276728731733e-15      -5.040503214000e-16 
  512       2.663532962927e-10       2.075228464862e-12       2.706706313594e-12       7.220785701927e-15       6.407081156376e-14       4.316462947193e-15      -5.148258990930e-16 
  513       2.654102338456e-10       2.113106891523e-12       2.691515535466e-12       7.231705474627e-15       6.362781059460e-14       4.356609611832e-15      -5.254517131109e-16 
  514       2.644616220788e-10       2.151211669645e-12       2.671383603928e-12       7.242459245687e-15       6.318858761087e-14       4.397153837319e-15      -5.359271106727e-16 
  515       2.635082022197e-10       2.189524479090e-12       2.646326101694e-12       7.253049860912e-15       6.275312390334e-14       4.438080468097e-15      -5.462514560696e-16 
  516       2.625507266381e-10       2.228026707551e-12       2.616359510113e-12       7.263480228146e-15       6.232139953459e-14       4.479374080052e-15      -5.564241307975e-16 
  517       2.615899588987e-10       2.266699449139e-12       2.581501214573e-12       7.273753317590e-15       6.189339333116e-14       4.521018979162e-15      -5.664445336888e-16 
  518       2.606266738131e-10       2.305523502970e-12       2.541769509900e-12       7.283872162128e-15       6.146908287569e-14       4.562999200164e-15      -5.763120810443e-16 
  519       2.596616574922e-10       2.344479371757e-12       2.497183605752e-12       7.293839857638e-15       6.104844449905e-14       4.605298505206e-15      -5.860262067655e-16 
  520       2.586957073985e-10       2.383547260396e-12       2.447763632026e-12       7.303659563318e-15       6.063145327248e-14       4.647900382509e-15      -5.955863624862e-16 
  521       2.577296323982e-10       2.422707074559e-12       2.393530644251e-12       7.313334502002e-15       6.021808299973e-14       4.690788045026e-15      -6.049920177050e-16 
  522       2.567642528136e-10       2.461938419280e-12       2.334506628993e-12       7.322867960482e-15       5.980830620922e-14       4.733944429098e-15      -6.142426599169e-16 
  523       2.558004004751e-10       2.501220597546e-12       2.270714509251e-12       7.332263289825e-15       5.940209414614e-14       4.777352193115e-15      -6.233377947455e-16 
  524       2.548389187737e-10       2.540532608887e-12       2.202178149857e-12       7.341523905693e-15       5.899941676463e-14       4.820993716174e-15      -6.322769460749e-16 
  525       2.538806627134e-10       2.579853147961e-12       2.128922362878e-12       7.350653288666e-15       5.860024271989e-14       4.864851096738e-15      -6.410596561818e-16 
  526       2.529264989630e-10       2.619160603147e-12       2.050972913010e-12       7.359654984555e-15       5.820453936034e-14       4.908906151290e-15      -6.496854858675e-16 
  527       2.519773059086e-10       2.658433055136e-12       1.968356522985e-12       7.368532604728e-15       5.781227271976e-14       4.953140413002e-15      -6.581540145899e-16 
  528       2.510339737058e-10       2.697648275512e-12       1.881100878965e-12       7.377289826426e-15       5.742340750939e-14       4.997535130381e-15      -6.664648405954e-16 
  529       2.500974043323e-10       2.736783725352e-12       1.789234635942e-12       7.385930393084e-15       5.703790711014e-14       5.042071265938e-15      -6.746175810509e-16 
  530       2.491685116395e-10       2.775816553806e-12       1.692787423140e-12       7.394458114647e-15       5.665573356464e-14       5.086729494840e-15      -6.826118721762e-16 
  531       2.482482214052e-10       2.814723596691e-12       1.591789849412e-12       7.402876867895e-15       5.627684756949e-14       5.131490203572e-15      -6.904473693754e-16 
  532       2.473374713857e-10       2.853481375080e-12       1.486273508643e-12       7.411190596760e-15       5.590120846729e-14       5.176333488595e-15      -6.981237473694e-16 
  533       2.464372113684e-10       2.892066093888e-12       1.376270985145e-12       7.419403312642e-15       5.552877423884e-14       5.221239155003e-15      -7.056407003276e-16 
  534       2.455484032232e-10       2.930453640467e-12       1.261815859060e-12       7.427519094736e-15       5.515950149529e-14       5.266186715183e-15      -7.129979420000e-16 
  535       2.446720209559e-10       2.968619583188e-12       1.142942711756e-12       7.435542090345e-15       5.479334547024e-14       5.311155387475e-15      -7.201952058494e-16 
  536       2.438090507595e-10       3.006539170035e-12       1.019687131232e-12       7.443476515201e-15       5.443026001189e-14       5.356124094828e-15      -7.272322451831e-16 
  537       2.429604910668e-10       3.044187327194e-12       8.920857175112e-13       7.451326653787e-15       5.407019757520e-14       5.401071463458e-15      -7.341088332850e-16 
  538       2.421273526029e-10       3.081538657641e-12       7.601760880462e-13       7.459096859656e-15       5.371310921401e-14       5.445975821510e-15      -7.408247635476e-16 
  539       2.413106584370e-10       3.118567439731e-12       6.239968831142e-13       7.466791555745e-15       5.335894457320e-14       5.490815197715e-15      -7.473798496044e-16 
  540       2.405114440350e-10       3.155247625786e-12       4.835877712187e-13       7.474415234704e-15       5.300765188080e-14       5.535567320049e-15      -7.537739254611e-16 
  541       2.397307573115e-10       3.191552840688e-12       3.389894544887e-13       7.481972459206e-15       5.265917794015e-14       5.580209614388e-15      -7.600068456283e-16 
  542       2.389696586822e-10       3.227456380464e-12       1.902436740778e-13       7.489467862275e-15       5.231346812203e-14       5.624719203172e-15      -7.660784852533e-16 
  543       2.382292211163e-10       3.262931210879e-12       3.739321556406e-14       7.496906147597e-15       5.197046635682e-14       5.669072904062e-15      -7.719887402519e-16 
  544       2.375103921867e-10       3.297952713837e-12      -1.195102915881e-13       7.504291824540e-15       5.163012382582e-14       5.713249829623e-15      -7.777374744582e-16 
  545       2.368135760591e-10       3.332507010232e-12      -2.803827572043e-13       7.511628404742e-15       5.129242530694e-14       5.757239265563e-15      -7.833243592500e-16 
  546       2.361390404204e-10       3.366582857028e-12      -4.451306046027e-13       7.518919184651e-15       5.095736351850e-14       5.801033000666e-15      -7.887490298921e-16 
  547       2.354870534651e-10       3.400168919292e-12      -6.136584989517e-13       7.526167509100e-15       5.062493047945e-14       5.844622744545e-15      -7.940111382412e-16 
  548       2.348578838918e-10       3.433253769897e-12      -7.858693387147e-13       7.533376771519e-15       5.029511750508e-14       5.888000127355e-15      -7.991103528561e-16 
  549       2.342518008993e-10       3.465825889222e-12      -9.616642470968e-13       7.540550414146e-15       4.996791520263e-14       5.931156699507e-15      -8.040463591088e-16 
  550       2.336690741829e-10       3.497873664854e-12      -1.140942563490e-12       7.547691928242e-15       4.964331346700e-14       5.974083931374e-15      -8.088188592944e-16 
  551       2.331099739313e-10       3.529385391292e-12      -1.323601834920e-12       7.554804854298e-15       4.932130147635e-14       6.016773213008e-15      -8.134275727421e-16 
  552       2.325747708226e-10       3.560349269643e-12      -1.509537807491e-12       7.561892782253e-15       4.900186768781e-14       6.059215853846e-15      -8.178722359256e-16 
  553       2.320637360208e-10       3.590753407327e-12      -1.698644417831e-12       7.568959351703e-15       4.868499983313e-14       6.101403082426e-15      -8.221526025738e-16 
  554       2.315771411722e-10       3.620585817778e-12      -1.890813784540e-12       7.576008252111e-15       4.837068491431e-14       6.143326046097e-15      -8.262684437812e-16 
  555       2.311152584019e-10       3.649834420144e-12      -2.085936199634e-12       7.583043223025e-15       4.805890919932e-14       6.184975810727e-15      -8.302195481186e-16 
  556       2.306783603098e-10       3.678487038992e-12      -2.283900119991e-12       7.590068054286e-15       4.774965821769e-14       6.226343360421e-15      -8.340057217435e-16 
  557       2.302667199677e-10       3.706531404002e-12      -2.484592158797e-12       7.597086586238e-15       4.744291675623e-14       6.267419597224e-15      -8.376267885107e-16 
  558       2.298806109149e-10       3.733955149678e-12      -2.687897076993e-12       7.604102709946e-15       4.713866885465e-14       6.308195340842e-15      -8.410825900832e-16 
  559       2.295203071553e-10       3.760745815041e-12      -2.893697774718e-12       7.611120367406e-15       4.683689780127e-14       6.348661328344e-15      -8.443729860422e-16 
  560       2.291860831533e-10       3.786890843334e-12      -3.101875282759e-12       7.618143551753e-15       4.653758612861e-14       6.388808213881e-15      -8.474978539979e-16 
  561       2.288782138303e-10       3.812377581724e-12      -3.312308753991e-12       7.625176307479e-15       4.624071560910e-14       6.428626568391e-15      -8.504570897005e-16 
  562       2.285969745614e-10       3.837193281003e-12      -3.524875454831e-12       7.632222730641e-15       4.594626725074e-14       6.468106879315e-15      -8.532506071498e-16 
  563       2.283426411714e-10       3.861325095287e-12      -3.739450756674e-12       7.639286969075e-15       4.565422129274e-14       6.507239550308e-15      -8.558783387068e-16 
  564       2.281154899313e-10       3.884760081720e-12      -3.955908127348e-12       7.646373222609e-15       4.536455720119e-14       6.546014900946e-15      -8.583402352035e-16 
  565       2.279157975551e-10       3.907485200176e-12      -4.174119122555e-12       7.653485743273e-15       4.507725366474e-14       6.584423166443e-15      -8.606362660539e-16 
  566       2.277438411954e-10       3.929487312955e-12      -4.393953377316e-12       7.660628835512e-15       4.479228859020e-14       6.622454497359e-15      -8.627664193642e-16 
  567       2.275998984407e-10       3.950753184493e-12      -4.615278597421e-12       7.667806856398e-15       4.450963909829e-14       6.660098959313e-15      -8.647307020439e-16 
  568       2.274842473109e-10       3.971269481054e-12      -4.837960550869e-12       7.675024215843e-15       4.422928151923e-14       6.697346532693e-15      -8.665291399158e-16 
  569       2.273971662545e-10       3.991022770440e-12      -5.061863059322e-12       7.682285376809e-15       4.395119138841e-14       6.734187112367e-15      -8.681617778267e-16 
  570       2.273389341446e-10       4.009999521685e-12      -5.286847989541e-12       7.689594855524e-15       4.367534344208e-14       6.770610507397e-15      -8.696286797583e-16 
  571       2.273098302751e-10       4.028186104761e-12      -5.512775244841e-12       7.696957221690e-15       4.340171161300e-14       6.806606440748e-15      -8.709299289373e-16 
  572       2.273101343576e-10       4.045568790279e-12      -5.739502756530e-12       7.704377098696e-15       4.313026902609e-14       6.842164549000e-15      -8.720656279464e-16 
  573       2.273401265173e-10       4.062133749187e-12      -5.966886475358e-12       7.711859163834e-15       4.286098799409e-14       6.877274382059e-15      -8.730358988344e-16 
  574       2.274000872899e-10       4.077867052475e-12      -6.194780362965e-12       7.719408148504e-15       4.259384001322e-14       6.911925402871e-15      -8.738408832272e-16 
  575       2.274902976175e-10       4.092754670876e-12      -6.423036383321e-12       7.727028838434e-15       4.232879575887e-14       6.946106987128e-15      -8.744807424380e-16 
  576       2.276110388453e-10       4.106782474565e-12      -6.651504494178e-12       7.734726073886e-15       4.206582508123e-14       6.979808422984e-15      -8.749556575782e-16 
  577       2.277625927179e-10       4.119936232862e-12      -6.880032638509e-12       7.742504749872e-15       4.180489700093e-14       7.013018910767e-15      -8.752658296675e-16 
  578       2.279452413758e-10       4.132201613933e-12      -7.108466735962e-12       7.750369816362e-15       4.154597970477e-14       7.045727562685e-15      -8.754114797450e-16 
  579       2.281592673516e-10       4.143564184492e-12      -7.336650674300e-12       7.758326278503e-15       4.128904054131e-14       7.077923402541e-15      -8.753928489794e-16 
  580       2.284049535666e-10       4.154009409502e-12      -7.564426300847e-12       7.766379196823e-15       4.103404601658e-14       7.109595365447e-15      -8.752101987798e-16 
  581       2.286825833269e-10       4.163522651876e-12      -7.791633413939e-12       7.774533687448e-15       4.078096178971e-14       7.140732297530e-15      -8.748638109059e-16 
  582       2.289924403204e-10       4.172089172178e-12      -8.018109754362e-12       7.782794922314e-15       4.052975266859e-14       7.171322955646e-15      -8.743539875789e-16 
  583       2.293347034726e-10       4.179697344235e-12      -8.243702725246e-12       7.791167414101e-15       4.028038788345e-14       7.201357812043e-15      -8.736813424300e-16 
  584       2.297091286392e-10       4.186348390828e-12      -8.468304890706e-12       7.799652850986e-15       4.003285706095e-14       7.230834518465e-15      -8.728476811064e-16 
  585       2.301153589549e-10       4.192046890626e-12      -8.691819347119e-12       7.808252208219e-15       3.978715464056e-14       7.259752577979e-15      -8.718551428828e-16 
  586       2.305530292133e-10       4.196797585114e-12      -8.914148070518e-12       7.816966458463e-15       3.954327463033e-14       7.288111552726e-15      -8.707059120263e-16 
  587       2.310217658256e-10       4.200605379431e-12      -9.135191912177e-12       7.825796571755e-15       3.930121060436e-14       7.315911064262e-15      -8.694022180097e-16 
  588       2.315211867806e-10       4.203475343205e-12      -9.354850594188e-12       7.834743515468e-15       3.906095570037e-14       7.343150793914e-15      -8.679463357248e-16 
  589       2.320509016039e-10       4.205412711387e-12      -9.573022705041e-12       7.843808254266e-15       3.882250261719e-14       7.369830483120e-15      -8.663405856949e-16 
  590       2.326105113168e-10       4.206422885085e-12      -9.789605695207e-12       7.852991750070e-15       3.858584361231e-14       7.395949933780e-15      -8.645873342885e-16 
  591       2.331996083961e-10       4.206511432400e-12      -1.000449587271e-11       7.862294962012e-15       3.835097049937e-14       7.421509008605e-15      -8.626889939320e-16 
  592       2.338177767335e-10       4.205684089260e-12      -1.021758839871e-11       7.871718846402e-15       3.811787464571e-14       7.446507631462e-15      -8.606480233228e-16 
  593       2.344645915944e-10       4.203946760257e-12      -1.042877728310e-11       7.881264356682e-15       3.788654696985e-14       7.470945787720e-15      -8.584669276424e-16 
  594       2.351396195779e-10       4.201305519477e-12      -1.063795538004e-11       7.890932443387e-15       3.765697793907e-14       7.494823524603e-15      -8.561482587695e-16 
  595       2.358424185756e-10       4.197766611342e-12      -1.084501438359e-11       7.900724054108e-15       3.742915756687e-14       7.518140951533e-15      -8.536946154930e-16 
  596       2.365725377312e-10       4.193336451436e-12      -1.104984482325e-11       7.910640133450e-15       3.720307541052e-14       7.540898240477e-15      -8.511086437254e-16 
  597       2.373295173998e-10       4.188021627349e-12      -1.125233605957e-11       7.920681622993e-15       3.697872056861e-14       7.563095626300e-15      -8.483930367151e-16 
  598       2.381128891074e-10       4.181828899503e-12      -1.145237627970e-11       7.930849461250e-15       3.675608167849e-14       7.584733407107e-15      -8.455505352604e-16 
  599       2.389221755099e-10       4.174765201995e-12      -1.164985249299e-11       7.941144583628e-15       3.653514691389e-14       7.605811944591e-15      -8.425839279219e-16 
  600       2.397568903527e-10       4.166837643425e-12      -1.184465052656e-11       7.951567922391e-15       3.631590398236e-14       7.626331664383e-15      -8.394960512357e-16 
  601       2.406165384298e-10       4.158053507736e-12      -1.203665502090e-11       7.962120406614e-15       3.609834012283e-14       7.646293056401e-15      -8.362897899268e-16 
  602       2.415006155436e-10       4.148420255045e-12      -1.222574942540e-11       7.972802962149e-15       3.588244210312e-14       7.665696675190e-15      -8.329680771217e-16 
  603       2.424086084637e-10       4.137945522480e-12      -1.241181599400e-11       7.983616511581e-15       3.566819621746e-14       7.684543140279e-15      -8.295338945619e-16 
  604       2.433399948866e-10       4.126637125013e-12      -1.259473578069e-11       7.994561974190e-15       3.545558828405e-14       7.702833136522e-15      -8.259902728165e-16 
  605       2.442942433948e-10       4.114503056298e-12      -1.277438863517e-11       8.005640265911e-15       3.524460364249e-14       7.720567414447e-15      -8.223402914959e-16 
  606       2.452708134163e-10       4.101551489503e-12      -1.295065319837e-11       8.016852299294e-15       3.503522715139e-14       7.737746790606e-15      -8.185870794640e-16 
  607       2.462691551840e-10       4.087790778145e-12      -1.312340689806e-11       8.028198983460e-15       3.482744318585e-14       7.754372147919e-15      -8.147338150522e-16 
  608       2.472887096949e-10       4.073229456925e-12      -1.329252594441e-11       8.039681224070e-15       3.462123563499e-14       7.770444436024e-15      -8.107837262718e-16 
  609       2.483289086694e-10       4.057876242564e-12      -1.345788532558e-11       8.051299923275e-15       3.441658789946e-14       7.785964671622e-15      -8.067400910274e-16 
  610       2.493891745107e-10       4.041740034638e-12      -1.361935880330e-11       8.063055979684e-15       3.421348288899e-14       7.800933938830e-15      -8.026062373298e-16 
  611       2.504689202642e-10       4.024829916411e-12      -1.377681890846e-11       8.074950288319e-15       3.401190301986e-14       7.815353389520e-15      -7.983855435091e-16 
  612       2.515675495770e-10       4.007155155669e-12      -1.393013693667e-11       8.086983740576e-15       3.381183021247e-14       7.829224243675e-15      -7.940814384280e-16 
  613       2.526844566566e-10       3.988725205559e-12      -1.407918294385e-11       8.099157224187e-15       3.361324588883e-14       7.842547789731e-15      -7.896974016944e-16 
  614       2.538190262311e-10       3.969549705420e-12      -1.422382574179e-11       8.111471623179e-15       3.341613097012e-14       7.855325384926e-15      -7.852369638750e-16 
  615       2.549706335079e-10       3.949638481619e-12      -1.436393289377e-11       8.123927817833e-15       3.322046587414e-14       7.867558455649e-15      -7.807037067078e-16 
  616       2.561386441333e-10       3.929001548387e-12      -1.449937071011e-11       8.136526684646e-15       3.302623051292e-14       7.879248497786e-15      -7.761012633158e-16 
  617       2.573224141518e-10       3.907649108650e-12      -1.463000424376e-11       8.149269096287e-15       3.283340429015e-14       7.890397077067e-15      -7.714333184195e-16 
  618       2.585212899653e-10       3.885591554871e-12      -1.475569728585e-11       8.162155921564e-15       3.264196609879e-14       7.901005829417e-15      -7.667036085504e-16 
  619       2.597346082929e-10       3.862839469875e-12      -1.487631236132e-11       8.175188025376e-15       3.245189431850e-14       7.911076461297e-15      -7.619159222636e-16 
  620       2.609616961296e-10       3.839403627693e-12      -1.499171072448e-11       8.188366268679e-15       3.226316681324e-14       7.920610750058e-15      -7.570741003514e-16 
  621       2.622018707060e-10       3.815294994392e-12      -1.510175235456e-11       8.201691508445e-15       3.207576092876e-14       7.929610544286e-15      -7.521820360561e-16 
  622       2.634544479976e-10       3.790525689991e-12      -1.520631709965e-11       8.215164048010e-15       3.188965678320e-14       7.938077185517e-15      -7.472429517445e-16 
  623       2.647187685523e-10       3.765111897256e-12      -1.530536866124e-11       8.228781974080e-15       3.170484722866e-14       7.946009757801e-15      -7.422572098934e-16 
  624       2.659941721877e-10       3.739071022699e-12      -1.539889209977e-11       8.242542780692e-15       3.152132811812e-14       7.953406797821e-15      -7.372244512470e-16 
  625       2.672799894576e-10       3.712420742788e-12      -1.548687282415e-11       8.256443915086e-15       3.133909503196e-14       7.960266869982e-15      -7.321443137022e-16 
  626       2.685755416142e-10       3.685179005085e-12      -1.556929659389e-11       8.270482777494e-15       3.115814327655e-14       7.966588566576e-15      -7.270164322977e-16 
  627       2.698801405701e-10       3.657364029376e-12      -1.564614952118e-11       8.284656720934e-15       3.097846788276e-14       7.972370507953e-15      -7.218404392031e-16 
  628       2.711930888603e-10       3.628994308806e-12      -1.571741807307e-11       8.298963050993e-15       3.080006360453e-14       7.977611342692e-15      -7.166159637078e-16 
  629       2.725136796041e-10       3.600088611007e-12      -1.578308907359e-11       8.313399025624e-15       3.062292491737e-14       7.982309747762e-15      -7.113426322101e-16 
  630       2.738411964671e-10       3.570665979233e-12      -1.584314970585e-11       8.327961854932e-15       3.044704601692e-14       7.986464428698e-15      -7.060200682062e-16 
  631       2.751749136234e-10       3.540745733495e-12      -1.589758751420e-11       8.342648700962e-15       3.027242081751e-14       7.990074119764e-15      -7.006478922790e-16 
  632       2.765140957172e-10       3.510347471689e-12      -1.594639040633e-11       8.357456677493e-15       3.009904295068e-14       7.993137584124e-15      -6.952257220877e-16 
  633       2.778579978252e-10       3.479491070729e-12      -1.598954665544e-11       8.372382849827e-15       2.992690576371e-14       7.995653614010e-15      -6.897531723558e-16 
  634       2.792058654182e-10       3.448196687683e-12      -1.602704490231e-11       8.387424234574e-15       2.975600231818e-14       7.997621030889e-15      -6.842298548612e-16 
  635       2.805569343234e-10       3.416484760902e-12      -1.605887415750e-11       8.402577799451e-15       2.958632538851e-14       7.999038685632e-15      -6.786553784246e-16 
  636       2.819104306863e-10       3.384376011154e-12      -1.608502380341e-11       8.417840463062e-15       2.941786746049e-14       7.999905458686e-15      -6.730293488983e-16 
  637       2.832655709324e-10       3.351891442755e-12      -1.610548359645e-11       8.433209094694e-15       2.925062072984e-14       8.000220260235e-15      -6.673513691559e-16 
  638       2.846215617298e-10       3.319052344704e-12      -1.612024366916e-11       8.448680514106e-15       2.908457710071e-14       7.999982030374e-15      -6.616210390809e-16 
  639       2.859775999506e-10       3.285880291812e-12      -1.612929453234e-11       8.464251491315e-15       2.891972818426e-14       7.999189739276e-15      -6.558379555554e-16 
  640       2.873328726332e-10       3.252397145837e-12      -1.613262707716e-11       8.479918746393e-15       2.875606529720e-14       7.997842387359e-15      -6.500017124499e-16 
  641       2.886865569440e-10       3.218625056617e-12      -1.613023257731e-11       8.495678949250e-15       2.859357946030e-14       7.995939005457e-15      -6.441119006115e-16 
  642       2.900378201400e-10       3.184586463199e-12      -1.612210269113e-11       8.511528719426e-15       2.843226139696e-14       7.993478654986e-15      -6.381681078534e-16 
  643       2.913858195299e-10       3.150304094974e-12      -1.610822946373e-11       8.527464625882e-15       2.827210153174e-14       7.990460428111e-15      -6.321699189438e-16 
  644       2.927297024369e-10       3.115800972810e-12      -1.608860532911e-11       8.543483186791e-15       2.811308998889e-14       7.986883447921e-15      -6.261169155949e-16 
  645       2.940686061602e-10       3.081100410183e-12      -1.606322311229e-11       8.559580869322e-15       2.795521659090e-14       7.982746868587e-15      -6.200086764518e-16 
  646       2.954016579371e-10       3.046226014310e-12      -1.603207603148e-11       8.575754089438e-15       2.779847085706e-14       7.978049875542e-15      -6.138447770816e-16 
  647       2.967279749053e-10       3.011201687280e-12      -1.599515770014e-11       8.591999211678e-15       2.764284200195e-14       7.972791685638e-15      -6.076247899624e-16 
  648       2.980466640643e-10       2.976051627189e-12      -1.595246212916e-11       8.608312548953e-15       2.748831893405e-14       7.966971547323e-15      -6.013482844724e-16 
  649       2.993568222377e-10       2.940800329271e-12      -1.590398372897e-11       8.624690362332e-15       2.733489025422e-14       7.960588740806e-15      -5.950148268788e-16 
  650       3.006575360355e-10       2.905472587030e-12      -1.584971731168e-11       8.641128860832e-15       2.718254425426e-14       7.953642578225e-15      -5.886239803266e-16 
  651       3.019478818155e-10       2.870093493374e-12      -1.578965809318e-11       8.657624201213e-15       2.703126891546e-14       7.946132403814e-15      -5.821753048282e-16 
  652       3.032269256455e-10       2.834688441745e-12      -1.572380169530e-11       8.674172487759e-15       2.688105190715e-14       7.938057594076e-15      -5.756683572518e-16 
  653       3.044937232657e-10       2.799283127253e-12      -1.565214414792e-11       8.690769772074e-15       2.673188058519e-14       7.929417557947e-15      -5.691026913106e-16 
  654       3.057473200499e-10       2.763903547811e-12      -1.557468189113e-11       8.707412052873e-15       2.658374199058e-14       7.920211736965e-15      -5.624778575521e-16 
  655       3.069867509684e-10       2.728576005260e-12      -1.549141177730e-11       8.724095275766e-15       2.643662284796e-14       7.910439605441e-15      -5.557934033466e-16 
  656       3.082110405490e-10       2.693327106510e-12      -1.540233107326e-11       8.740815333052e-15       2.629050956413e-14       7.900100670624e-15      -5.490488728767e-16 
  657       3.094192028398e-10       2.658183764667e-12      -1.530743746241e-11       8.757568063509e-15       2.614538822665e-14       7.889194472873e-15      -5.422438071258e-16 
  658       3.106102413710e-10       2.623173200168e-12      -1.520672904686e-11       8.774349252182e-15       2.600124460234e-14       7.877720585819e-15      -5.353777438678e-16 
  659       3.117831491164e-10       2.588322941911e-12      -1.510020434951e-11       8.791154630172e-15       2.585806413581e-14       7.865678616542e-15      -5.284502176552e-16 
  660       3.129369084562e-10       2.553660828389e-12      -1.498786231627e-11       8.807979874430e-15       2.571583194804e-14       7.853068205732e-15      -5.214607598091e-16 
  661       3.140705969670e-10       2.519212817690e-12      -1.486971563940e-11       8.824820702898e-15       2.557453493567e-14       7.839889949982e-15      -5.144093098222e-16 
  662       3.151837074334e-10       2.484996362192e-12      -1.474583104601e-11       8.841673162677e-15       2.543416812279e-14       7.826148190641e-15      -5.072974595522e-16 
