# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
   40       1.791954345352e-10       1.244533807809e-14       1.806457865568e-13       6.320553183992e-17       8.307605120858e-11       8.759109441371e-12      -9.544286675542e-15 
   41       1.821112401006e-10       1.348868173003e-14       1.597980247105e-13       6.639876522916e-17       7.893537713270e-11       8.355861851579e-12      -8.963903460215e-15 
   42       1.850598906736e-10       1.458430120029e-14       1.367799725130e-13       6.967018768218e-17       7.506401900603e-11       7.978687046649e-12      -8.857158993611e-15 
   43       1.880390081466e-10       1.573275840298e-14       1.116047645592e-13       7.301967817098e-17       7.145155196598e-11       7.626700456914e-12      -9.088680509150e-15 
   44       1.910416374054e-10       1.693452621023e-14       8.429689282009e-14       7.644711376968e-17       6.807150901244e-11       7.297455532868e-12      -9.487329153305e-15 
   45       1.940601329771e-10       1.818996627536e-14       5.487363150500e-14       7.995237216258e-17       6.489080182028e-11       6.987801370430e-12      -9.882821584062e-15 
   46       1.971001727174e-10       1.949926299327e-14       2.328165357064e-14       8.353533844125e-17       6.190434888696e-11       6.697056242968e-12      -1.023390526384e-14 
   47       2.001702348186e-10       2.086246373539e-14      -1.055778716417e-14       8.719590150985e-17       5.910862913998e-11       6.424569951519e-12      -1.053470944018e-14 
   48       2.032775049484e-10       2.227949123413e-14      -4.673212481913e-14       9.093395321382e-17       5.649124085808e-11       6.168756652323e-12      -1.077922784061e-14 
   49       2.064277129113e-10       2.375013894752e-14      -8.533813692381e-14       9.474938913270e-17       5.403024161743e-11       5.927026309366e-12      -1.096132630384e-14 
   50       2.096245757449e-10       2.527410727790e-14      -1.264610764521e-13       9.864210432799e-17       5.170074347579e-11       5.696574101257e-12      -1.107956607129e-14 
   51       2.128683277395e-10       2.685113457176e-14      -1.701038694829e-13       1.026119773864e-16       4.949834030858e-11       5.477160282147e-12      -1.115319941054e-14 
   52       2.161565090696e-10       2.848089366588e-14      -2.162398320672e-13       1.066588834159e-16       4.742089861497e-11       5.268966394157e-12      -1.121052901409e-14 
   53       2.194841469431e-10       3.016295149273e-14      -2.648321650371e-13       1.107826992544e-16       4.546154699704e-11       5.071775757542e-12      -1.128470051149e-14 
