       1.027007324700e-05       5.048939443249e+01 
       2.127823957567e-05       1.020511234723e+02 
       3.231731179323e-05       1.528088794015e+02 
       4.340897459828e-05       2.032041921606e+02 
       5.457519216452e-05       2.534898603128e+02 
       6.583835132742e-05       3.038520982248e+02 
       7.722140832240e-05       3.544466662875e+02 
       8.874804052559e-05       4.054138920638e+02 
       1.004428046610e-04       4.568862481383e+02 
       1.123313029531e-04       5.089928082977e+02 
       1.244403587190e-04       5.618621845988e+02 
       1.367982029000e-04       6.156246580136e+02 
       1.494346730251e-04       6.704138778229e+02 
       1.623814260605e-04       7.263683176132e+02 
       1.756721665246e-04       7.836325909574e+02 
       1.893428911100e-04       8.423586846324e+02 
       2.034321508321e-04       9.027071758618e+02 
       2.179813313911e-04       9.648484476317e+02 
       2.330349519429e-04       1.028963861196e+03 
       2.486409817849e-04       1.095247025808e+03 
       2.648511735133e-04       1.163904991656e+03 
       2.817214099291e-04       1.235159499131e+03 
       2.993120602809e-04       1.309248140252e+03 
       3.176883392485e-04       1.386425589378e+03 
       3.369206593005e-04       1.466964533158e+03 
       3.570849636131e-04       1.551156703478e+03 
       3.782630225717e-04       1.639313405525e+03 
       4.005426719652e-04       1.731765946106e+03 
       4.240179654166e-04       1.828865440527e+03 
       4.487892075736e-04       1.930982192217e+03 
       4.749628285249e-04       2.038504124338e+03 
       5.026510544583e-04       2.151834633675e+03 
       5.319713257324e-04       2.271388895349e+03 
       5.630454125994e-04       2.397589229936e+03 
       5.959981824208e-04       2.530859004031e+03 
       6.309559821628e-04       2.671614828322e+03 
       6.680446178886e-04       2.820257430860e+03 
       7.073869399736e-04       2.977161073571e+03 
       7.491000787412e-04       3.142661686774e+03 
       7.932924182039e-04       3.317044584551e+03 
       8.400604413723e-04       3.500531821536e+03 
       8.894856226196e-04       3.693270357147e+03 
       9.416315727213e-04       3.895322008103e+03 
       9.965416522491e-04       4.106655213943e+03 
       1.054237252877e-03       4.327141006279e+03 
       1.114716902067e-03       4.556551770925e+03 
       1.177956278430e-03       4.794564537163e+03 
       1.243909142284e-03       5.040768444454e+03 
       1.312509101672e-03       5.294674844691e+03 
       1.383672062082e-03       5.555730875218e+03 
       1.457299159050e-03       5.823333754731e+03 
       1.533279952189e-03       6.096846338465e+03 
       1.611495666503e-03       6.375611900586e+03 
       1.691822296345e-03       6.658967536399e+03 
       1.774133430915e-03       6.946256381652e+03 
       1.858302708672e-03       7.236837812021e+03 
       1.944205854260e-03       7.530094927086e+03 
       2.031722290358e-03       7.825441362591e+03 
       2.120736346047e-03       8.122324962716e+03 
       2.211138102423e-03       8.420230445798e+03 
       2.302823926477e-03       8.718681257517e+03 
       2.395696747645e-03       9.017238760084e+03 
       2.489666129796e-03       9.315501159178e+03 
       2.584648186734e-03       9.613104106498e+03 
       2.680565382962e-03       9.909715720541e+03 
       2.777346254608e-03       1.020503834423e+04 
       2.874925078719e-03       1.049880247665e+04 
       2.973241513066e-03       1.079076797398e+04 
       3.072240223338e-03       1.108071886051e+04 
       3.171870510194e-03       1.136846361208e+04 
       3.272085945069e-03       1.165258168539e+04 
       3.372844020812e-03       1.193406916777e+04 
       3.474105821038e-03       1.221297101911e+04 
       3.575835710437e-03       1.248917339119e+04 
       3.678001047057e-03       1.276257065025e+04 
       3.780571916698e-03       1.303307153079e+04 
       3.883520888959e-03       1.330058868539e+04 
       3.986822794045e-03       1.356505279148e+04 
       4.090454519207e-03       1.382639914025e+04 
       4.194394823535e-03       1.408457182103e+04 
       4.298624169751e-03       1.433952588784e+04 
       4.403124571655e-03       1.459122096511e+04 
       4.507879455902e-03       1.483962012507e+04 
       4.612873536843e-03       1.508469906110e+04 
       4.718092703240e-03       1.532642940029e+04 
       4.823523915746e-03       1.556479503425e+04 
       4.929155114120e-03       1.579980930938e+04 
       5.034975133241e-03       1.603144358259e+04 
       5.140973627058e-03       1.625969651714e+04 
       5.247140999700e-03       1.648456840612e+04 
       5.353468343036e-03       1.670605707044e+04 
       5.459947380045e-03       1.692416732985e+04 
       5.566570413426e-03       1.713890431972e+04 
       5.673330278929e-03       1.735027871082e+04 
       5.780220302931e-03       1.755829934506e+04 
       5.887234263860e-03       1.776298192872e+04 
       5.994366357062e-03       1.796433001177e+04 
       6.101611162802e-03       1.816237311364e+04 
       6.208963617079e-03       1.835712177155e+04 
       6.316418984989e-03       1.854859091705e+04 
       6.423972836391e-03       1.873680125958e+04 
       6.531621023661e-03       1.892177615830e+04 
       6.639359661326e-03       1.910353033647e+04 
       6.747185107419e-03       1.928208080565e+04 
       6.855093946380e-03       1.945745914314e+04 
       6.963082973366e-03       1.962968241104e+04 
       7.071149179851e-03       1.979877239627e+04 
       7.179289740374e-03       1.996474910910e+04 
       7.287502000367e-03       2.012764605401e+04 
       7.395783464933e-03       2.028747552769e+04 
       7.504131788514e-03       2.044426622375e+04 
       7.612544765363e-03       2.059804207102e+04 
       7.721020320744e-03       2.074881808478e+04 
       7.829556502814e-03       2.089663004175e+04 
       7.938151475112e-03       2.104150358677e+04 
       8.046803509614e-03       2.118344767901e+04 
       8.155510980304e-03       2.132250295762e+04 
       8.264272357221e-03       2.145868484248e+04 
       8.373086200941e-03       2.159202786252e+04 
       8.481951157453e-03       2.172254401711e+04 
       8.590865953412e-03       2.185026363069e+04 
       8.699829391729e-03       2.197521255757e+04 
       8.808840347467e-03       2.209741622073e+04 
       8.917897764033e-03       2.221689519418e+04 
       9.027000649634e-03       2.233367581379e+04 
       9.136148073976e-03       2.244778324444e+04 
       9.245339165197e-03       2.255924026418e+04 
