    2       1.376694747759e-10       4.362919446354e-15       3.371318594009e-13       2.140269206566e-19       8.081651665933e-09       4.777726605502e-10      -1.868689082775e-12 
    3       1.299036055007e-10       5.573017833611e-15       3.823885917452e-13       4.281418493069e-19       4.956997252898e-09       3.372974534642e-10      -1.410165629187e-12 
    4       1.229103562546e-10       4.806820634949e-15       3.603444443799e-13       7.137641464398e-19       3.445753811587e-09       2.547588762414e-10      -9.173425230980e-13 
    5       1.178866050719e-10       3.208971279215e-15       3.100110652011e-13       1.071007892168e-18       2.571810595929e-09       2.008641211081e-10      -5.042452291557e-13 
    6       1.146139194449e-10       1.815376977914e-15       2.535221929317e-13       1.500012891775e-18       2.008281140144e-09       1.631395651755e-10      -2.017248722860e-13 
    7       1.126419712990e-10       1.015515820930e-15       2.037066839650e-13       2.000942852510e-18       1.618977657557e-09       1.354625890749e-10      -1.057277205095e-14 
    8       1.117040447962e-10       6.884070514377e-16       1.660805203369e-13       2.573983236959e-18       1.336398797865e-09       1.145238988046e-10       8.506602010988e-14 
    9       1.115354285072e-10       5.718132638073e-16       1.418067429827e-13       3.219338816826e-18       1.123774280531e-09       9.833682721263e-11       1.095226435345e-13 
   10       1.118762803437e-10       4.998367686184e-16       1.295708104563e-13       3.937230955803e-18       9.594460525661e-10       8.554351191686e-11       8.953766009546e-14 
   11       1.126750653845e-10       4.358749296501e-16       1.267040608700e-13       4.727894655268e-18       8.105808288633e-10       7.561808203380e-11       5.001862540947e-14 
   12       1.137652165582e-10       3.997757435425e-16       1.302092783172e-13       5.591575401650e-18       7.078339430210e-10       6.679680210768e-11       8.548229189557e-15 
   13       1.150805414791e-10       4.035416900452e-16       1.375659849042e-13       6.528525859337e-18       6.234966450116e-10       5.952883052210e-11      -2.262863619266e-14 
   14       1.166327243594e-10       4.384699755648e-16       1.468610794445e-13       7.539002457711e-18       5.533514740373e-10       5.347511623960e-11      -3.891909872106e-14 
   15       1.183734968845e-10       4.926338596213e-16       1.567035140245e-13       8.623261925208e-18       4.943252168474e-10       4.818593859547e-11      -4.147373269844e-14 
   16       1.201748479960e-10       5.645730143626e-16       1.664788742357e-13       9.781557826809e-18       4.441508775201e-10       4.364594636788e-11      -3.416016024394e-14 
   17       1.221247499711e-10       6.609451165036e-16       1.761201547654e-13       1.101413716398e-17       4.011215668662e-10       3.968997419669e-11      -2.246915791520e-14 
   18       1.241515280510e-10       7.878904245518e-16       1.856842416311e-13       1.232123711347e-17       3.637869010583e-10       3.623674416213e-11      -1.150074507623e-14 
   19       1.262644494912e-10       9.459186620359e-16       1.953640739958e-13       1.370308185409e-17       3.315496430607e-10       3.325281427301e-11      -3.932333637782e-15 
   20       1.284642356774e-10       1.132922846949e-15       2.053582456750e-13       1.515987981932e-17       3.031667115570e-10       3.062239660241e-11      -1.507459749677e-15 
   21       1.307377564606e-10       1.348586914342e-15       2.155718621934e-13       1.669182126339e-17       2.781901835718e-10       2.828868265671e-11      -3.583754943462e-15 
   22       1.330412909180e-10       1.592852139663e-15       2.257312645521e-13       1.829907549087e-17       2.560199806225e-10       2.617920530774e-11      -8.268471377266e-15 
   23       1.353990752293e-10       1.866412908734e-15       2.354561941888e-13       1.998179004869e-17       2.363497945764e-10       2.428326369868e-11      -1.366412087730e-14 
   24       1.378316191586e-10       2.169996744328e-15       2.442932429817e-13       2.174008787930e-17       2.187236860658e-10       2.258644237888e-11      -1.775619541492e-14 
   25       1.403210981812e-10       2.504187998578e-15       2.519403819347e-13       2.357406873461e-17       2.029330806929e-10       2.107113132112e-11      -1.967641849783e-14 
   26       1.428261975640e-10       2.869738279421e-15       2.581428787715e-13       2.548380562295e-17       1.886909130653e-10       1.970232573202e-11      -1.911949538742e-14 
   27       1.453560458495e-10       3.269102658174e-15       2.627492064308e-13       2.746934732595e-17       1.758254984876e-10       1.845488343963e-11      -1.683761718132e-14 
   28       1.479249121517e-10       3.705254789691e-15       2.656714504339e-13       2.953071609448e-17       1.641142836470e-10       1.730030799143e-11      -1.399924679749e-14 
   29       1.505405423719e-10       4.180180242945e-15       2.669467346860e-13       3.166791673129e-17       1.534968125160e-10       1.624052677963e-11      -1.127950060400e-14 
   30       1.531954694476e-10       4.695551443917e-15       2.666910762109e-13       3.388092716639e-17       1.438583876298e-10       1.527928418133e-11      -9.309388610996e-15 
   31       1.558720624324e-10       5.252951487844e-15       2.650319719274e-13       3.616969939161e-17       1.350016053019e-10       1.441095556330e-11      -8.666424100297e-15 
   32       1.585756800778e-10       5.853681206787e-15       2.619334522574e-13       3.853417847528e-17       1.268802457071e-10       1.362439734303e-11      -9.173549451278e-15 
   33       1.613113572322e-10       6.498862398411e-15       2.573056509133e-13       4.097428857696e-17       1.194364562817e-10       1.289861428868e-11      -1.032420632935e-14 
   34       1.640774680347e-10       7.189513960001e-15       2.510361307376e-13       4.348993298283e-17       1.125655632329e-10       1.220916296298e-11      -1.154239430271e-14 
   35       1.668779576933e-10       7.926683675726e-15       2.429456738704e-13       4.608101512003e-17       1.062319863979e-10       1.155769257781e-11      -1.250121111712e-14 
   36       1.697126735457e-10       8.711347869242e-15       2.328135539772e-13       4.874742380978e-17       1.003844692033e-10       1.095195263244e-11      -1.290592512560e-14 
   37       1.725767641318e-10       9.544395550932e-15       2.204362193410e-13       5.148903489226e-17       9.494641129804e-11       1.039674816448e-11      -1.251322510472e-14 
   38       1.754728184498e-10       1.042671933647e-14       2.057968051268e-13       5.430573746108e-17       8.990350672350e-11       9.890451595023e-12      -1.149715348813e-14 
